업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,산쪼메청주점,청주시 상당구 사직대로362번길 14  1층 (서문동),청주시 상당구 서문동 10-1 1층 ,,일식
일반음식점,치킨더홈청주용암점,청주시 상당구 중흥로 129  1층 (용암동),청주시 상당구 용암동 2299 ,043-288-9979,통닭(치킨)
일반음식점,전주추어탕,청주시 상당구 무농정로 43 (용암동 (1층)),청주시 상당구 용암동 2002 (1층) ,043-285-5544,한식
일반음식점,동해한우촌,청주시 상당구 상당로14번길 28  2층 (서운동  외 1필지),청주시 상당구 서운동 28-7 외 1필지 2층 ,,식육(숯불구이)
일반음식점,조선제일쭈꾸미막창,청주시 상당구 무농정로 19 (용암동),청주시 상당구 용암동 1791 ,043-292-3300,한식
일반음식점,어른이집,청주시 상당구 중앙로 2  2 3층 (북문로2가),청주시 상당구 북문로2가 50-5 2 3층 ,070-4190-0918,일식
일반음식점,비바호프,청주시 상당구 영운천로127번길 24 (용정동 (1층)),청주시 상당구 용정동 584 (1층) ,043-292-0603,호프/통닭
일반음식점,밀꽃국수정원,청주시 상당구 월평로123번길 52  1층 (용암동),청주시 상당구 용암동 684-6 1층 ,043-298-5866,한식
일반음식점,금관절경,청주시 상당구 미원면 운암계원로 586-15,청주시 상당구 미원면 금관리 408-1 ,043-225-8114,한식
일반음식점,큰손칼국수,청주시 상당구 사직대로361번길 7-6 (영동),청주시 상당구 영동 103-3 ,043-221-4384,분식
일반음식점,홍경한우촌,청주시 상당구 무농정로 25  1층 (용암동),청주시 상당구 용암동 1784 ,043-273-4331,한식
일반음식점,청주횟집,청주시 상당구 영운천로141번길 2  1층 (용정동),청주시 상당구 용정동 662 ,043-293-3338,횟집
일반음식점,광동성,청주시 상당구 가덕면 단재로 1625,청주시 상당구 가덕면 금거리 161-1 ,043-298-3995,한식
일반음식점,행복한찜닭청주본점,청주시 상당구 용암북로92번길 3  1층 (용암동),청주시 상당구 용암동 2441 1층 ,043-285-9289,한식
일반음식점,우리집숯불고기본점,청주시 상당구 용암북로138번길 18-10 (용암동  1층),청주시 상당구 용암동 2575 (1층) ,043-298-5155,한식
일반음식점,김밥마을,청주시 상당구 원봉로 25 (용암동  소라아파트상가106호),청주시 상당구 용암동 2082 소라상가106호 ,,김밥(도시락)
일반음식점,삼남매생삼겹살,청주시 상당구 남사로89번길 47 (서문동  1층),청주시 상당구 서문동 166-2 (1층) ,043-223-3992,한식
일반음식점,허브호프,청주시 상당구 단재로77번길 21-23  3층 301호 (금천동),청주시 상당구 금천동 160-23 ,043-237-4222,호프/통닭
일반음식점,태풍활어회,청주시 상당구 용암로99번길 37 (용암동 (1층)),청주시 상당구 용암동 670-16 (1층) ,043-294-9811,한식
일반음식점,야간비행,청주시 상당구 남사로89번길 63 (서문동 1층),청주시 상당구 서문동 166-21 1층 ,043-257-8222,한식
일반음식점,역전꽈배기,청주시 상당구 산성로98번길 12  그린프라자 1층 106호 (금천동),청주시 상당구 금천동 296 그린프라자 ,043-295-9663,기타
일반음식점,유가네청주성안점,청주시 상당구 상당로81번길 44-5  1층 (북문로1가),청주시 상당구 북문로1가 156-1 1층 ,043-259-5110,기타
일반음식점,로렌드치킨남주점,청주시 상당구 무심동로336번길 28 (남주동),청주시 상당구 남주동 562-1 ,043-222-2225,통닭(치킨)
일반음식점,효촌숯불생고기,청주시 상당구 남일면 효촌송정1길 8,청주시 상당구 남일면 효촌리 27-6 ,043-292-9212,한식
일반음식점,대청어죽,청주시 상당구 남일면 단재로 708  1층,청주시 상당구 남일면 고은리 467-5 1층 ,043-715-1678,식육(숯불구이)
일반음식점,민구네칼국수,청주시 상당구 쇠내로 57-10  1층 (금천동),청주시 상당구 금천동 171-35 1층 ,043-221-7107,한식
일반음식점,메밀음식전문점묵사발,청주시 상당구 교동로3번길 76-1 (수동  1층),청주시 상당구 수동 344-23 (1층) ,043-252-5400,한식
일반음식점,버팔로(BUFFALO),청주시 상당구 1순환로 1202-3  서진빌딩 3층 304호 (방서동),청주시 상당구 방서동 227-13 304호,,호프/통닭
일반음식점,곰돌이김밥천국,청주시 상당구 대성로200번길 4  1층 (수동),청주시 상당구 수동 393-15 ,043-223-0801,한식
일반음식점,맥시칸양념통닭영운체인점,청주시 상당구 수영로144번길 13-5 (영운동),청주시 상당구 영운동 81-3 ,043-257-5844,통닭(치킨)
일반음식점,우리동네,청주시 상당구 상당로5번길 5 (석교동),청주시 상당구 석교동 491 (1층) ,043-224-0778,한식
일반음식점,청원한우마실1호점,청주시 상당구 남일면 은행상야로 213  1층,청주시 상당구 남일면 황청리 4-5 ,043-288-8252,식육(숯불구이)
일반음식점,소문난착한떡볶이,청주시 상당구 상당로 120 (북문로2가  1층),청주시 상당구 북문로2가 116-21 (1층) ,043-255-9130,분식
일반음식점,백운식당,청주시 상당구 중흥로187번길 17 (용암동  1층),청주시 상당구 용암동 2563 (1층) ,043-297-5793,횟집
일반음식점,대추나무집,청주시 상당구 상당로 40-12 (서운동),청주시 상당구 서운동 44-1 ,043-256-2322,한식
일반음식점,정성한줄,청주시 상당구 중고개로142번길 31  상가3동 123일부호 (용암동  시티프라디움 1단지),청주시 상당구 용암동 2942-111 시티프라디움 1단지 상가3동 123일부호,043-252-2266,분식
일반음식점,장수설렁탕,청주시 상당구 상당로131번길 7-6  1층 (북문로2가),청주시 상당구 북문로2가 95-1 ,,한식
일반음식점,벌떼호프식당, ,청주시 상당구 남문로1가 49-1 ,043-253-2826,호프/통닭
일반음식점,고향홍굴부추칼국수,청주시 상당구 월평로 250 (용암동),청주시 상당구 용암동 2046 ,043-298-6900,분식
일반음식점,새벽집24시정육포차,청주시 상당구 중흥로187번길 22 (용암동  1층),청주시 상당구 용암동 2568 (1층) ,043-288-8208,식육(숯불구이)
일반음식점,하정아동충하초오리골,청주시 상당구 무농정로31번길 34 (용암동),청주시 상당구 용암동 1928 ,043-294-2947,한식
일반음식점,처갓집양념치킨동남지구점,청주시 상당구 중고개로 104  제309동 제지2층 104에이호 (용암동  칸타빌 더 테라스 2단지),청주시 상당구 용암동 149-10 칸타빌 더 테라스 2단지 제309동 제지2층 104에이호 ,,호프/통닭
일반음식점,청계,청주시 상당구 무심동로354번길 43  1층 102호 (서문동),청주시 상당구 서문동 190-9 ,,한식
일반음식점,떡깨비용암점,청주시 상당구 원봉로 92-1  1층 (용암동),청주시 상당구 용암동 2179 ,043-292-9199,분식
일반음식점,호선먹거리,청주시 상당구 상당로1번길 18  1층 (석교동),청주시 상당구 석교동 126-43 1층 ,043-224-9989,한식
일반음식점,텐앤투(TEN AND TWO),청주시 상당구 상당로59번길 72-2  1층 (서문동),청주시 상당구 서문동 77 1층 ,043-223-2180,한식
일반음식점,달밤족발,청주시 상당구 중고개로141번길 10-1  1층 (용암동),청주시 상당구 용암동 3056 1층 ,,식육(숯불구이)
일반음식점,선희분식,청주시 상당구 상당로1번길 4 (석교동),청주시 상당구 석교동 126-28 ,043-221-0887,분식
일반음식점,천하장사세수대야냉면,청주시 상당구 용암북로 46 (용암동),청주시 상당구 용암동 1104 ,043-285-8292,분식
일반음식점,길성이본점,청주시 상당구 이정골로 13 (용정동  2층),청주시 상당구 용정동 407 (2층) ,043-296-7777,한식
일반음식점,청맥,청주시 상당구 문의면 문의시내로 17,청주시 상당구 문의면 미천리 154-12 ,043-298-1885,한식
일반음식점,제주에서북경,청주시 상당구 남사로 70-5 (남주동),청주시 상당구 남주동 594-16 ,043-221-2547,한식
일반음식점,79대포청주금천광장점,청주시 상당구 산성로98번길 23  103호 (용담동),청주시 상당구 용담동 372-103 ,,한식
일반음식점,들마루,청주시 상당구 용암북로120번길 21-1 (용암동),청주시 상당구 용암동 2555 ,043-292-3651,한식
일반음식점,엄마생각,청주시 상당구 영운로 139 (석교동  1층),청주시 상당구 석교동 4-2 1층 ,,한식
일반음식점,원할머니보쌈 족발청주용암점,청주시 상당구 중고개로141번길 11-1  1층 116호 (용암동),청주시 상당구 용암동 3074 ,,한식
일반음식점,금천고기사랑,청주시 상당구 쇠내로84번길 19 (금천동),청주시 상당구 금천동 132-25 ,043-223-1307,한식
일반음식점,그럴만두용암점,청주시 상당구 낙영로32번길 18  1층 102호 (용암동),청주시 상당구 용암동 2468 ,,분식
일반음식점,주막거리,청주시 상당구 용담로 14-2 (서운동),청주시 상당구 서운동 38-2 1층 ,043-256-4240,정종/대포집/소주방
일반음식점,엄마손한식뷔페,청주시 상당구 동남로 55  1층 (방서동),청주시 상당구 방서동 646-202 ,043-296-6669,뷔페식
일반음식점,춘초몽,청주시 상당구 중앙로 18  남동 1층 28-32 67호 (북문로2가  중앙 아파트),청주시 상당구 북문로2가 92-2 중앙 아파트 ,043-222-4350,일식
일반음식점,또또닭갈비,청주시 상당구 낙영로 13  1층 (용암동),청주시 상당구 용암동 2282 1층 ,,한식
일반음식점,피자마켓,청주시 상당구 월평로153번길 41  1층 (용암동),청주시 상당구 용암동 1292 ,,경양식
일반음식점,고기있수다,청주시 상당구 산성로112번길 14 (용담동  1층),청주시 상당구 용담동 392 (1층) ,043-298-0908,식육(숯불구이)
일반음식점,삼겹고수,청주시 상당구 남사로89번길 32  1층 (서문동),청주시 상당구 서문동 178-10 ,,한식
일반음식점,짜장일번지,청주시 상당구 영운로96번길 10 (금천동),청주시 상당구 금천동 157-48 ,043-222-7655,중국식
일반음식점,에피소드,청주시 상당구 산성로98번길 24 (금천동),청주시 상당구 금천동 299 ,,호프/통닭
일반음식점,킹 브레드,청주시 상당구 상당로81번길 33  쥬네쓰 1205-1호 (북문로1가),청주시 상당구 북문로1가 170-1 쥬네쓰  1205-1 ,043-223-2612,한식
일반음식점,풍경소리,청주시 상당구 교서로32번길 27 (북문로2가  1층),청주시 상당구 북문로2가 130-7 ,043-257-8897,한식
일반음식점,여기는속초,청주시 상당구 용암북로80번길 4 (용암동),청주시 상당구 용암동 2392 ,043-296-5599,호프/통닭
일반음식점,금란이네,청주시 상당구 상당로 8-2  2층 (서운동),청주시 상당구 서운동 89-8 ,,외국음식전문점(인도 태국등)
일반음식점,앤카포,청주시 상당구 중고개로141번길 22  5층 501호 (용암동),청주시 상당구 용암동 3035 ,043-296-6969,한식
일반음식점,삼합회,청주시 상당구 사직대로361번길 74-2 (북문로2가 (1층)),청주시 상당구 북문로2가 135-7 (1층) ,043-221-0707,한식
일반음식점,지완이네우연닭갈비,청주시 상당구 용암북로76번길 19  1층 (용암동),청주시 상당구 용암동 2382 ,043-283-6000,호프/통닭
일반음식점,일이오삼,청주시 상당구 1순환로1253번길 58  1층 (용암동),청주시 상당구 용암동 1627 1층 ,,호프/통닭
일반음식점,기분좋은닭,청주시 상당구 단재로196번길 12-7  B동 1층 (용암동),청주시 상당구 용암동 721-4 B동 1층 ,043-900-5456,호프/통닭
일반음식점,장수곱돌생고기,청주시 상당구 남사로89번길 45 (서문동),청주시 상당구 서문동 166-40 ,,식육(숯불구이)
일반음식점,대왕산양삼오리,청주시 상당구 남일면 단재로 743,청주시 상당구 남일면 고은리 453-25 ,043-298-4009,한식
일반음식점,구)청원식당,청주시 상당구 남사로140번길 21 (남문로1가),청주시 상당구 남문로1가 13 ,,한식
일반음식점,용호식당,청주시 상당구 쇠내로 108 (금천동 (1층)),청주시 상당구 금천동 109-7 (1층) ,,한식
일반음식점,피굽남 유떡 청주동남점,청주시 상당구 중고개로142번길 20  상가2동 1층 105호 (용암동  청주동남 우미린 에듀포레),청주시 상당구 용암동 3150 청주동남 우미린 에듀포레 ,043-288-0745,경양식
일반음식점,정우숯불갈비,청주시 상당구 남사로 104-10 (남주동),청주시 상당구 남주동 191-2 ,043-257-2518,한식
일반음식점,풍물시장인(in)야한식당,청주시 상당구 무심동로 398-3  지1층 (서문동),청주시 상당구 서문동 159-43 ,,한식
일반음식점,육거리춘천닭갈비,청주시 상당구 상당로29번길 17-2 (남문로1가),청주시 상당구 남문로1가 79-1 ,043-253-8212,한식
일반음식점,고향축산물불고기,청주시 상당구 수영로 299  1층 (용담동),청주시 상당구 용담동 399 1층 ,043-288-3053,한식
일반음식점,풍천일등장어,청주시 상당구 용암북로120번길 21-7  1~2층 (용암동),청주시 상당구 용암동 2556 1~2층 ,043-291-0990,한식
일반음식점,칠사7/4떡뽀끼,청주시 상당구 중흥로 117 (용암동  1층),청주시 상당구 용암동 2153 1층 ,,분식
일반음식점,야차,청주시 상당구 대성로122번길 27-1  1층 (수동),청주시 상당구 수동 257-20 ,,기타
일반음식점,카페더블샷,청주시 상당구 단재로 110-9  1층 (영운동),청주시 상당구 영운동 168-9 (1층) ,,기타
일반음식점,쉬었다가리,청주시 상당구 월평로154번길 20 (용암동  1층),청주시 상당구 용암동 1443 (1층) ,043-287-4949,호프/통닭
일반음식점,아이벗치킨,청주시 상당구 미원면 단재로 2415,청주시 상당구 미원면 미원리 434-1 ,043-297-1449,호프/통닭
일반음식점,회짱,청주시 상당구 무농정로31번길 21  1층 (용암동),청주시 상당구 용암동 1946 1층 ,,한식
일반음식점,우리순대,청주시 상당구 쇠내로146번길 2-1 (영운동),청주시 상당구 영운동 40-9 ,043-221-8979,한식
일반음식점,뼈의전설,청주시 상당구 용암북로 132 (용암동 (2층)),청주시 상당구 용암동 2552 (2층) ,043-297-9995,한식
일반음식점,팡팡생맥주타운,청주시 상당구 용암북로80번길 22-7 (용암동),청주시 상당구 용암동 2273 ,,호프/통닭
일반음식점,아리랑생고기,청주시 상당구 중고개로141번길 11-1  어반스퀘어 1층 113 114호 (용암동),청주시 상당구 용암동 3074 어반스퀘어 1층 113 114호 ,043-287-9700,식육(숯불구이)
일반음식점,왕서방,청주시 상당구 미원면 미원시내1길 12,청주시 상당구 미원면 미원리 600-1 ,043-284-2888,한식
일반음식점,사탄푸드,청주시 상당구 용암북로94번길 20-11  1층 (용암동),청주시 상당구 용암동 2452 1층 ,043-292-8080,경양식
일반음식점,노군꼬치,청주시 상당구 중고개로141번길 13-12  1층 113호 (용암동),청주시 상당구 용암동 186-33 1층 113호,043-293-3345,한식
일반음식점,아이벗치킨,청주시 상당구 호미로 317 (용담동  부영그린타운가좌마을상가101호),청주시 상당구 용담동 423 부영그린타운 가좌마을 상가101호 ,043-293-9982,분식
일반음식점,우럭한마리,청주시 상당구 월평로154번길 30 (용암동  1층),청주시 상당구 용암동 1447 (1층) ,043-288-6686,한식
일반음식점,고궁식당,청주시 상당구 낙영로8번길 20 (용암동 1층),청주시 상당구 용암동 2294 1층 ,043-222-2080,한식
일반음식점,대성식당,청주시 상당구 미원면 미원시내2길 31,청주시 상당구 미원면 미원리 527 ,,한식
일반음식점,아리랑칼국수·빨간김치,청주시 상당구 낭성면 산성로 856-3,청주시 상당구 낭성면 현암리 26-4 ,043-221-5775,한식
일반음식점,소이로,청주시 상당구 교서로 22-1  2층 201호 (영동),청주시 상당구 영동 97-3 ,,외국음식전문점(인도 태국등)
일반음식점,작은이태리,청주시 상당구 명암로 32  주1동 3층 302호 (용담동),청주시 상당구 용담동 449 주1동 302호,,경양식
일반음식점,미스터촌닭,청주시 상당구 산성로92번길 17  104호 (금천동),청주시 상당구 금천동 293 104호,043-288-1712,일식
일반음식점,서래궁1,청주시 상당구 교동로3번길 127  산원빌딩 2층 201호 (북문로2가),청주시 상당구 북문로2가 6-3 산원빌딩 ,,한식
일반음식점,안동본가국밥,청주시 상당구 산성로 102  1층 (용담동),청주시 상당구 용담동 367 1층 ,043-288-1961,탕류(보신용)
일반음식점,옛날코끼리찐빵만두,청주시 상당구 상당로1번길 21 (석교동 (1층)),청주시 상당구 석교동 126-55 (1층) ,043-225-0552,분식
일반음식점,오지(OHJI),청주시 상당구 수암로36번길 13  3 4층 (수동),청주시 상당구 수동 81-155 3 4층 ,043-260-5611,경양식
일반음식점,샤브스토리,청주시 상당구 성안로 10  2층 (북문로1가),청주시 상당구 북문로1가 162-2 ,043-223-0920,한식
일반음식점,동그라미,청주시 상당구 상당로81번길 53 (서문동),청주시 상당구 서문동 25 ,043-252-9862,분식
일반음식점,청화루,청주시 상당구 중고개로337번길 117-1  1층 (금천동),청주시 상당구 금천동 186-8 1층 ,,중국식
일반음식점,오복가정식백반,청주시 상당구 성안로74번길 82  1층 (남주동),청주시 상당구 남주동 527 1층 ,043-225-3114,한식
일반음식점,피비에이(PBA)당구클럽,청주시 상당구 중고개로141번길 13-2  7층 703 704호 (용암동),청주시 상당구 용암동 186-30 ,,한식
일반음식점,두부향기,청주시 상당구 목련로 380-3  1 2층 (월오동),청주시 상당구 월오동 283-1 ,043-298-8877,한식
일반음식점,청춘돼지,청주시 상당구 용암북로 72-1 (용암동),청주시 상당구 용암동 2240 ,,호프/통닭
일반음식점,정가울,청주시 상당구 낙영로12번길 16  1층 (용암동),청주시 상당구 용암동 2309 ,043-286-8082,한식
일반음식점,언저리,청주시 상당구 낭성면 산성로 1341  1층,청주시 상당구 낭성면 이목리 79-4 1층 ,043-256-9413,한식
일반음식점,홈파티,청주시 상당구 용암북로168번길 11-9  금강빌라 1층 (용암동),청주시 상당구 용암동 2826 금강빌라 ,043-297-5252,한식
일반음식점,백마강참숯민물장어,청주시 상당구 명암로 32  주1동 2층 201호 (용담동),청주시 상당구 용담동 449 주1동 201호,043-259-1881,식육(숯불구이)
일반음식점,곽두리쪽갈비(청주점),청주시 상당구 낙영로12번길 19  1층 (용암동),청주시 상당구 용암동 2330 ,043-292-2370,한식
일반음식점,온고지신식당,청주시 상당구 남사로 120-1 (남문로2가),청주시 상당구 남문로2가 105 ,043-253-9936,한식
일반음식점,씨바,청주시 상당구 중흥로187번길 6  2층 (용암동),청주시 상당구 용암동 2589 ,,호프/통닭
일반음식점,그남자들의주방,청주시 상당구 용암로103번길 3  1층 (용암동),청주시 상당구 용암동 1179 ,043-292-1188,패밀리레스트랑
일반음식점,한솥도시락,청주시 상당구 월평로 228  1층 103호 (용암동),청주시 상당구 용암동 2014 1층 103호,043-285-2014,한식
일반음식점,아구세상,청주시 상당구 수영로 303  1층 (용담동),청주시 상당구 용담동 401 ,,한식
일반음식점,루하,청주시 상당구 1순환로1253번길 76  3층 (용암동),청주시 상당구 용암동 1642 3층 ,043-291-1444,호프/통닭
일반음식점,백세할머니손만두(청주청남시니어클럽),청주시 상당구 단재로 397  2층 (지북동),청주시 상당구 지북동 208 ,043-292-1912,분식
일반음식점,천마궁,청주시 상당구 용암북로 52  1층 (용암동),청주시 상당구 용암동 642-5 ,043-293-1112,중국식
일반음식점,오장동흥남집청주점,청주시 상당구 남일면 단재로 721  1 2층,청주시 상당구 남일면 고은리 473-9 ,043-285-0123,한식
일반음식점,닭장,청주시 상당구 용암북로94번길 4  1층 (용암동),청주시 상당구 용암동 2438 1층 ,043-296-5599,한식
일반음식점,닷옴시골밥상,청주시 상당구 남일면 교육원로 123  1층,청주시 상당구 남일면 은행리 70-5 1층 ,043-297-5577,한식
일반음식점,시장불고기,청주시 상당구 남사로112번길 54  1층 (남주동),청주시 상당구 남주동 43-3 1층 ,043-259-9992,식육(숯불구이)
일반음식점,만석집,청주시 상당구 중고개로141번길 13-18  1층 108호 (용암동),청주시 상당구 용암동 3081 ,,한식
일반음식점,명사십리,청주시 상당구 무농정로3번길 55 (용암동),청주시 상당구 용암동 1834 ,,한식
